sep=,
DeviceTag:,Right Foot
FirmwareVersion:,2.4.0
AppVersion:,2022.0.0
StartTime: ,2023-06-27_13:36:40_000 CEST
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
573,1931597115,-0.10193033516407,-0.33405539393425,-116.59957122802734,0.04495372623205,-0.04512069001794,9.49090003967285,-0.58408141136169,3.57109808921814,0.39585515856743
574,1931605448,-0.10250873118639,-0.33407920598984,-116.59990692138672,0.02756005711854,-0.03056642971933,9.53533935546875,-0.69632297754288,3.53708243370056,0.25497689843178
575,1931613781,-0.10301277786493,-0.33436378836632,-116.59973144531250,0.03569064661860,-0.02494414709508,9.48894023895264,-0.68456602096558,3.49568986892700,0.31691211462021
576,1931622114,-0.10267291218042,-0.33395931124687,-116.59952545166016,-0.00126156373881,-0.02428396604955,9.53380870819092,-0.58533650636673,3.58797788619995,0.32057496905327
577,1931630447,-0.10241404920816,-0.33409756422043,-116.59966278076172,0.02424488402903,-0.00679997541010,9.53309822082520,-0.59199631214142,3.51372265815735,0.28202557563782
578,1931638780,-0.10214555263519,-0.33361494541168,-116.60066223144531,0.03640082105994,-0.01775156520307,9.50496196746826,-0.59599202871323,3.59753203392029,0.17815980315208
579,1931647113,-0.10229937732220,-0.33412957191467,-116.60054016113281,0.02284976467490,-0.01423341967165,9.50730514526367,-0.64232814311981,3.46810340881348,0.30530887842178
580,1931655446,-0.10290088504553,-0.33443456888199,-116.59947204589844,0.01475791633129,-0.02304593101144,9.53019237518311,-0.69750130176544,3.50332307815552,0.42326244711876
581,1931663779,-0.10302941501141,-0.33344730734825,-116.59951019287109,0.02348894253373,-0.01202065963298,9.51109027862549,-0.63925451040268,3.64801764488220,0.28876206278801
582,1931672112,-0.10370422154665,-0.33305740356445,-116.59885406494141,0.02735242992640,-0.03451301530004,9.49218654632568,-0.70733696222305,3.58672237396240,0.37321215867996
583,1931680445,-0.10356841236353,-0.33325698971748,-116.59866333007812,0.01343293674290,-0.02147159166634,9.49952697753906,-0.60744160413742,3.50565409660339,0.32646623253822
