Time,Gaze_Direction.x,Gaze_Direction.y,Gaze_Direction.z,Gaze_Origin.x,Gaze_Origin.y,Gaze_Origin.z,Head_Movement_Direction.x,Head_Movement_Direction.y,Head_Movement_Direction.z,Head_Velocity.x,Head_Velocity.y,Head_Velocity.z,Hit_Normal.x,Hit_Normal.y,Hit_Normal.z,Hit_Position.x,Hit_Position.y,Hit_Position.z,Cursor_Position.x,Cursor_Position.y,Cursor_Position.z
3.93,0.2729301,-0.2104352,0.9387366,-0.01059791,-0.01158574,0.02402119,-0.3473555,-0.3810265,0.816497,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.5352623,-0.4324561,1.901494
3.94,0.2736942,-0.2112637,0.9383279,-0.01058733,-0.01159058,0.02373024,-0.3495237,-0.3832716,0.8185865,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.536801,-0.4341181,1.900386
3.96,0.2744242,-0.2120965,0.9379267,-0.01056908,-0.01159499,0.02343631,-0.351756,-0.3856545,0.820174,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.5382792,-0.435788,1.89929
3.98,0.2750949,-0.2128755,0.9375536,-0.01054847,-0.01159386,0.02315583,-0.3540316,-0.3881749,0.8213066,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.5396413,-0.4373449,1.898263
3.99,0.2750949,-0.2128755,0.9375536,-0.01054847,-0.01159386,0.02315583,-0.3563316,-0.3907949,0.8220445,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.5396413,-0.4373449,1.898263
4.01,0.2750949,-0.2128755,0.9375536,-0.01054847,-0.01159386,0.02315583,-0.3584056,-0.3931576,0.8226978,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.5396413,-0.4373449,1.898263
4.02,0.2750949,-0.2128755,0.9375536,-0.01054847,-0.01159386,0.02315583,-0.3602754,-0.3952881,0.823277,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.5396413,-0.4373449,1.898263
4.04,0.2750949,-0.2128755,0.9375536,-0.01054847,-0.01159386,0.02315583,-0.3619611,-0.3972088,0.8237911,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.5396413,-0.4373449,1.898263
4.06,0.2670154,-0.2112311,0.9402575,-0.01037158,-0.01155416,0.02280472,-0.3634801,-0.3989398,0.8242483,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.5236593,-0.4340163,1.90332
4.07,0.2591687,-0.2096327,0.9428074,-0.01020913,-0.01152229,0.02245931,-0.3647221,-0.4009136,0.8245099,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.5081283,-0.4307876,1.908074
4.09,0.2516004,-0.2080759,0.9451993,-0.0100931,-0.01149044,0.02212968,-0.3657444,-0.4031264,0.8245712,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.4931077,-0.4276423,1.912528
4.11,0.2442756,-0.2065566,0.9474512,-0.009987551,-0.01145116,0.02180678,-0.3666939,-0.405518,0.8244122,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.4785637,-0.4245643,1.916709
4.12,0.2372167,-0.2050731,0.9495648,-0.009856255,-0.01141379,0.02149157,-0.3676075,-0.4080418,0.8240536,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.4645771,-0.4215601,1.920621
4.14,0.2304112,-0.2035849,0.9515587,-0.009737305,-0.01138041,0.02118128,-0.3683959,-0.4107045,0.8235446,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.4510852,-0.4185502,1.924299
4.16,0.06596713,-0.1650743,0.9840726,-0.006447162,-0.01061294,0.01339456,-0.3691021,-0.4134992,0.8228806,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.1254871,-0.3407615,1.98154
4.17,0.06598123,-0.1650631,0.9840735,-0.006454578,-0.01061596,0.01338841,-0.3681034,-0.4309227,0.8153008,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.1255079,-0.3407423,1.981536
4.19,0.06614072,-0.1651326,0.9840511,-0.006479541,-0.0106014,0.01337868,-0.3671297,-0.446511,0.808182,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.1258019,-0.3408665,1.981481
4.21,0.06633539,-0.1651676,0.9840322,-0.006509876,-0.0105884,0.01337038,-0.3663051,-0.4603835,0.8015279,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.1261609,-0.3409236,1.981435
4.22,0.06665546,-0.1652382,0.9839987,-0.006548273,-0.01058881,0.01333833,-0.3656556,-0.472724,0.7953278,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.1267627,-0.3410653,1.981336
4.24,0.06700803,-0.1653922,0.9839489,-0.006592881,-0.0106008,0.01329454,-0.3652419,-0.4838015,0.7894799,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.1274232,-0.3413853,1.981192
4.26,0.06745854,-0.165676,0.9838703,-0.006662278,-0.01059795,0.01325514,-0.3650877,-0.4938188,0.7839142,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.1282548,-0.3419499,1.980996
